长城水郡自住装修25万，保养的好，三房两厅,长城水郡 -汽车南站,3室2厅 | 97.81平米 | 南 | 精装 | 中楼层(共16层) | 2013年建 | 板塔结合,1人关注 / 27天以前发布,104.8,"10,715元/平"
金麓小区 两房两厅  精装拎包入住 茶子山 凯德壹,金麓小区 -观沙岭,2室2厅 | 91.45平米 | 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 20天以前发布,78.8,"8,617元/平"
经典小三房，居家装修，指标都在,世纪城映江苑 -湘江世纪城,3室2厅 | 88.25平米 | 南 北 | 精装 | 中楼层(共33层) | 2010年建 | 塔楼,1人关注 / 18天以前发布,112,"12,692元/平"
地铁口 自住精装房 使用面积大 满五唯一 拎包入住,森林公园壹号 -汽车南站,3室2厅 | 90.14平米 | 南 北 | 精装 | 低楼层(共18层) | 2011年建 | 塔楼,1人关注 / 23天以前发布,96.8,"10,739元/平"
诚心出售 ，朝南，采光好，居家精装修，生活配套齐全,弘德西街好莱城 -梅溪湖北岸,3室2厅 | 92.81平米 | 南 | 精装 | 高楼层(共33层) | 2015年建 | 板塔结合,0人关注 / 23天以前发布,119,"12,822元/平"
装修九成新 自住婚房装修 可拎包入住,天骄福邸 -观沙岭,3室2厅 | 88.58平米 | 南 北 | 其他 | 高楼层(共18层) | 2011年建 | 板楼,0人关注 / 20天以前发布,122,"13,773元/平"
新上优质房源，金茂悦三期，自住精装四房，近地铁,金茂悦 -梅溪湖北岸,4室2厅 | 122.77平米 | 南 | 精装 | 高楼层(共33层) | 2018年建 | 塔楼,3人关注 / 22天以前发布,240,"19,549元/平"
安静楼栋位置  中等装修 满五唯一 可观浏阳河,阳光城尚东湾 -武广新城,3室2厅 | 119.38平米 | 南 | 简装 | 低楼层(共33层) | 2017年建 | 板塔结合,0人关注 / 30天以前发布,122,"10,220元/平"
精装房屋，小区绿化高，小区环境优越，交通便利,欧莱雅郡 -汽车南站,3室2厅 | 83.74平米 | 南 | 精装 | 低楼层(共33层) | 2013年建 | 板塔结合,1人关注 / 17天以前发布,89.5,"10,688元/平"
汽车南站，湘水郡毛坯房，24小时热水，中Y空调，,湘水郡 -万家丽南路,4室1厅 | 149.84平米 | 南 北 | 毛坯 | 低楼层(共27层) | 2014年建 | 板塔结合,0人关注 / 23天以前发布,96.8,"6,461元/平"
乾源国际优质三房两厅两卫，诚意出售，看中价格好谈,乾源国际广场 -金星北,3室2厅 | 96.21平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 18天以前发布,94,"9,771元/平"
天麓尚层 3室2厅 南,天麓尚层 -雷锋大道,3室2厅 | 97.73平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,114.8,"11,747元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
天麓尚层精装自住大三房，中间楼层，满五唯一，可看房,天麓尚层 -雷锋大道,3室2厅 | 111.11平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 21天以前发布,119,"10,711元/平"
满五唯一 精装业主自住2房诚心出售  楼梯房3楼,三城花苑 -暮云,2室2厅 | 84.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 29天以前发布,45,"5,323元/平"
业主急售，满五唯一，拎包入住。看房方便。,山语城二期 -金霞,3室2厅 | 89.12平米 | 南 | 精装 | 低楼层(共11层) | 2013年建 | 板塔结合,2人关注 / 28天以前发布,83.18,"9,334元/平"
地铁口正规两居室 交通方便 上学近 业主诚心出售,君悦香邸 -北辰三角洲,2室2厅 | 71.85平米 | 南 | 简装 | 高楼层(共30层) | 2007年建 | 板塔结合,0人关注 / 17天以前发布,87.9,"12,234元/平"
云栖谷 中间位置 周正4房 业主急售,云栖谷 -含浦,4室2厅 | 124.2平米 | 南 | 其他 | 高楼层(共18层) | 2014年建 | 板楼,1人关注 / 30天以前发布,104.8,"8,439元/平"
桂花公园地铁口3号线 鸿铭枫树山,营山佳园 -左家塘,3室2厅 | 96.36平米 | 南 | 其他 | 中楼层(共8层) | 1996年建 | 板楼,0人关注 / 21天以前发布,96,"9,963元/平"
乾源国际优质三房两厅两卫，诚意出售，看中价格好谈,乾源国际广场 -金星北,3室2厅 | 96.21平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 18天以前发布,94,"9,771元/平"
天麓尚层 3室2厅 南,天麓尚层 -雷锋大道,3室2厅 | 97.73平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,114.8,"11,747元/平"
业主换房子诚心卖，人车分流，绿化好,三一街区 -万家丽北,3室1厅 | 130.56平米 | 南 北 | 简装 | 高楼层(共31层)  | 板塔结合,1人关注 / 23天以前发布,78,"5,975元/平"
区政府复式洋房，五号线带泰禹 ，百万精装，从未入住,雨花家园和雅苑 -武广新城,5室2厅 | 208.34平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,295,"14,160元/平"
南北通风，满五唯一，双卫生间，拎包可入住，近地铁,旭辉国际广场 -武广新城,4室2厅 | 126.51平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,210,"16,600元/平"
央企大盘，松雅湖宜居板块，精装拎包入住，免个税！,华润凤凰城二期 -开元路,3室2厅 | 99.05平米 | 西南 | 精装 | 高楼层(共34层) | 2014年建 | 板塔结合,0人关注 / 29天以前发布,97.8,"9,874元/平"
毛坯 高得房率，满五 视野好 诚心出售配套齐全,合能璞丽 -梅溪湖北岸,3室1厅 | 79.76平米 | 南 | 毛坯 | 高楼层(共34层) | 2014年建 | 板塔结合,0人关注 / 18天以前发布,159,"19,935元/平"
精装房屋，小区绿化高，小区环境优越，交通便利,欧莱雅郡 -汽车南站,3室2厅 | 83.74平米 | 南 | 精装 | 低楼层(共33层) | 2013年建 | 板塔结合,1人关注 / 17天以前发布,89.5,"10,688元/平"
三一街区 4室2厅 南,三一街区 -万家丽北,4室2厅 | 119.26平米 | 南 | 精装 | 中楼层(共33层) | 2017年建 | 板塔结合,2人关注 / 30天以前发布,92,"7,715元/平"
珠江东方明珠 谷山山景房 满五唯一,珠江东方明珠 -金星北,3室2厅 | 137.91平米 | 南 | 精装 | 高楼层(共28层) | 2016年建 | 板塔结合,1人关注 / 21天以前发布,100.8,"7,310元/平"
汽车南站，湘水郡毛坯房，24小时热水，中Y空调，,湘水郡 -万家丽南路,4室1厅 | 149.84平米 | 南 北 | 毛坯 | 低楼层(共27层) | 2014年建 | 板塔结合,0人关注 / 23天以前发布,96.8,"6,461元/平"
安静楼栋位置  中等装修 满五唯一 可观浏阳河,阳光城尚东湾 -武广新城,3室2厅 | 119.38平米 | 南 | 简装 | 低楼层(共33层) | 2017年建 | 板塔结合,0人关注 / 30天以前发布,122,"10,220元/平"
业主诚意出售 高楼层 采光好 配套齐全,恒大绿洲 -武广新城,3室2厅 | 127.25平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,1人关注 / 27天以前发布,149,"11,710元/平"
30万精装修急卖，拎包入住，看房方便，随时签约,世纪城星江苑 -湘江世纪城,2室2厅 | 98.92平米 | 南 | 精装 | 高楼层(共33层) | 2008年建 | 板楼,1人关注 / 23天以前发布,130,"13,142元/平"
好润佳旁，配套齐全，业主诚心卖，楼层采光好！,公园尚 -含浦,3室2厅 | 117.98平米 | 南 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,0人关注 / 20天以前发布,110,"9,324元/平"
鑫远御文台标准小三房，居家装修，业主诚心出售,鑫远御文台1期 -新开铺,3室2厅 | 93.74平米 | 东南 | 精装 | 中楼层(共31层) | 2016年建 | 板塔结合,0人关注 / 29天以前发布,115,"12,268元/平"
特殊原因急售 美式装修风格 从未入住,五矿紫湖香醍 -暮云,4室2厅 | 124.84平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,140,"11,215元/平"
清水毛坯，130平双阳台4房2卫，两梯三户的中层电梯房,和顺洋湖壹号 -洋湖垸,4室2厅 | 129.37平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 26天以前发布,205,"15,847元/平"
下楼就是地铁口的小三房，诚心出售。,华菱新城地标 -武广新城,3室1厅 | 96.92平米 | 东南 南 | 简装 | 中楼层(共29层)  | 塔楼,0人关注 / 20天以前发布,78.5,"8,100元/平"
青园梓枫中雅培粹 电梯中高层自住精装3房带车位,升远君尚嘉筑 -德思勤,3室2厅 | 132.86平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板塔结合,0人关注 / 26天以前发布,145.8,"10,974元/平"
梅溪双地铁口 南北户型 房东自住装修保养好 拎包入住,梅溪鑫苑名家 -东方红,3室2厅 | 106.01平米 | 南 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,3人关注 / 27天以前发布,160,"15,093元/平"
楼栋位置好楼层采光好，带地暖小三房，小高层,万国城三期 -福元西路,3室2厅 | 90.34平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板塔结合,3人关注 / 25天以前发布,98,"10,848元/平"
免个税电梯中层 三房装修的 首付20万交通购物方便,利海米兰春天小区 -含浦,3室2厅 | 81.72平米 | 南 | 精装 | 中楼层(共17层) | 2016年建 | 板塔结合,1人关注 / 22天以前发布,67,"8,199元/平"
此房满五唯一，边户，中高楼层无遮挡，精装修，采光好,昆仑和府华庭 -暮云,2室2厅 | 77.53平米 | 南 | 精装 | 15层  | 板塔结合,1人关注 / 28天以前发布,41.8,"5,392元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
免个税电梯中层 三房装修的 首付20万交通购物方便,利海米兰春天小区 -含浦,3室2厅 | 81.72平米 | 南 | 精装 | 中楼层(共17层) | 2016年建 | 板塔结合,1人关注 / 22天以前发布,67,"8,199元/平"
满五唯一 ，婚房装修，中间楼层采光好,恒大绿洲 -武广新城,3室2厅 | 125.32平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 26天以前发布,164,"13,087元/平"
恒大绿洲 3室2厅 南,恒大绿洲 -武广新城,3室2厅 | 111.45平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 17天以前发布,145,"13,011元/平"
房东着急出售，精装修大3室，采光，户型棒棒哒,德馨园 -韶山南路,3室2厅 | 117.33平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,83,"7,075元/平"
二环内花园小区 小高层  自住装修 诚心出售 看房方便,香墅美地 -金盆岭,3室1厅 | 110平米 | 南 北 | 精装 | 中楼层(共18层) | 2006年建 | 塔楼,1人关注 / 30天以前发布,99.8,"9,073元/平"
正地铁口，万科品质楼盘，精装修可拎包入住,万科西街庭院 -尚东,3室2厅 | 90.37平米 | 南 | 精装 | 中楼层(共16层) | 2008年建 | 板楼,1人关注 / 26天以前发布,130,"14,386元/平"
协信星澜汇 四房两厅两卫 业主自住装修 滨江茶子山,协信星澜汇 -观沙岭,4室2厅 | 126.58平米 | 南 北 | 精装 | 中楼层(共34层) | 2014年建 | 板楼,0人关注 / 25天以前发布,199.5,"15,761元/平"
岳麓区 整栋私房出售 带前后院子一百平米 仅售178万,望城坡青山集镇 -雷锋大道,7室3厅 | 328.03平米 | 南 东 北 | 简装 | 低楼层(共4层)  | 暂无数据,20人关注 / 1个月以前发布,178,"5,427元/平"
中茂城 精装单身公寓 民水民电 两梯四户 拎包可入住,尚都花园城 -泉塘,1室1厅 | 34.46平米 | 南 | 精装 | 高楼层(共33层) | 2011年建 | 板塔结合,3人关注 / 13天以前发布,14.9,"4,324元/平"
精装修可拎包入住，业主诚意出售，小区环境好，治安好,中建芙蓉工社 -省政府,1室1厅 | 30.51平米 | 南 | 精装 | 中楼层(共13层) | 2014年建 | 塔楼,2人关注 / 16天以前发布,22.6,"7,408元/平"
中意路 南郡明珠 精装三房 诚心出售。,南郡明珠 -暮云,3室2厅 | 117.26平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,58,"4,947元/平"
开福区 湖山赋 精装4房 麓山国际,恒基旭辉湖山赋 -金霞,4室2厅 | 140.31平米 | 东南 | 精装 | 中楼层(共29层)  | 板塔结合,8人关注 / 3个月以前发布,144.5,"10,299元/平"
可看摩天轮，环境优美，适合居住，视野很好,金色比华利 -月湖,3室2厅 | 131.44平米 | 南 北 | 其他 | 高楼层(共16层)  | 板塔结合,1人关注 / 2个月以前发布,104.9,"7,981元/平"
全屋防水、暖气、大理石台面， 双阳台阳光五房。,润和紫郡 -金星北,5室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共33层) | 2013年建 | 塔楼,3人关注 / 一年前发布,159,"11,358元/平"
省府板块，顶复带52㎡露台，有车库满五唯一省个税。,银桂苑 -省政府,6室3厅 | 218.68平米 | 南 北 | 精装 | 高楼层(共9层) | 2010年建 | 板楼,6人关注 / 2个月以前发布,257.99,"11,798元/平"
湖景房  可拎包入住  采光视野很好,时代倾城 -金星北,4室2厅 | 117.25平米 | 南 北 | 精装 | 中楼层(共34层) | 2015年建 | 板塔结合,70人关注 / 一年前发布,126.8,"10,815元/平"
地铁口，满五唯一省，房东诚心出售，全套家具家电,北辰三角洲凤凰公元 -北辰三角洲,4室2厅 | 144.43平米 | 南 北 | 精装 | 中楼层(共44层)  | 板楼,4人关注 / 1个月以前发布,266,"18,418元/平"
圆梦 生活 精装三房 保养新 诚心出售 随时看房,完美生活小区 -万家丽北,3室2厅 | 127.9平米 | 东南 | 精装 | 高楼层(共32层) | 2010年建 | 板塔结合,1人关注 / 4个月以前发布,89.6,"7,006元/平"
近地铁 山水湾高层 视野好 精装四房  不要个税  急售,山水湾 -万家丽北,4室2厅 | 111.28平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,98.8,"8,879元/平"
小区中间位置，安静舒适，离小区出入口近，楼间距宽,珠江花城四期 -福元西路,2室2厅 | 81.87平米 | 南 | 精装 | 中楼层(共32层) | 2012年建 | 板塔结合,0人关注 / 12天以前发布,98,"11,971元/平"
通用时代-自住精装-央盘绿城物业-地铁口,通用时代国际社区 -金盆岭,5室2厅 | 171.63平米 | 南 | 其他 | 低楼层(共29层) | 2014年建 | 板塔结合,1人关注 / 2个月以前发布,295,"17,189元/平"
室内家具家电基本上全新，材料也是用的很不错的,万国城MOMA一期 -福元西路,5室1厅 | 164.12平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板塔结合,0人关注 / 1个月以前发布,178,"10,846元/平"
中信楼盘地铁口户型好通风大四房居家自主满五唯一,中信凯旋蓝岸 -省政府,4室2厅 | 139.21平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,1人关注 / 1个月以前发布,135,"9,698元/平"
品质山景湖景小高层带枫树山，南北通透公摊小交通便利,长房南屏锦源 -万家丽南路,4室2厅 | 130.46平米 | 南 北 | 精装 | 中楼层(共18层) | 2013年建 | 板塔结合,8人关注 / 4个月以前发布,139,"10,655元/平"
天心区尚双塘地铁站 110平居家四房 95新中间楼层,金谷豪庭 -暮云,4室2厅 | 110.23平米 | 南 | 精装 | 低楼层(共16层)  | 暂无数据,1人关注 / 1个月以前发布,95,"8,619元/平"
龙湖品质别墅出行方便 前后花园。,龙湖湘风原著A3区 -金星北,5室2厅 | 196.35平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 7个月以前发布,480,"24,447元/平"
万业巴厘岛精装别墅 大花园 随时看房,万业巴厘岛 -青竹湖,5室3厅 | 210平米 | 南 | 精装 | 低楼层(共1层)  | 板楼,0人关注 / 2个月以前发布,458,"21,810元/平"
南北向，户型周正。明厨明卫，采光较好。公摊小,园丁小区 -河西大学城,4室2厅 | 150.17平米 | 南 北 | 精装 | 6层  | 板楼,2人关注 / 1个月以前发布,119.8,"7,978元/平"
湘天砂子塘，房东诚心出售，看房方便,湘府名邸 -德思勤,5室2厅 | 158.29平米 | 南 北 | 精装 | 中楼层(共18层) | 2008年建 | 塔楼,5人关注 / 2个月以前发布,138,"8,719元/平"
浏城桥 附二 文艺新村 一室出售 低总价,文艺新村 -浏城桥,1室1厅 | 31.68平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,2人关注 / 16天以前发布,21,"6,629元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
万业巴厘岛精装别墅 大花园 随时看房,万业巴厘岛 -青竹湖,5室3厅 | 210平米 | 南 | 精装 | 低楼层(共1层)  | 板楼,0人关注 / 2个月以前发布,458,"21,810元/平"
万家丽双地铁口 上下两层精装自住房 采光视野佳,东方新城 -德政园,4室2厅 | 175平米 | 东南 | 精装 | 6层 | 2001年建 | 板楼,58人关注 / 一年前发布,112,"6,400元/平"
湘天砂子塘，房东诚心出售，看房方便,湘府名邸 -德思勤,5室2厅 | 158.29平米 | 南 北 | 精装 | 中楼层(共18层) | 2008年建 | 塔楼,5人关注 / 2个月以前发布,138,"8,719元/平"
南北向，户型周正。明厨明卫，采光较好。公摊小,园丁小区 -河西大学城,4室2厅 | 150.17平米 | 南 北 | 精装 | 6层  | 板楼,2人关注 / 1个月以前发布,119.8,"7,978元/平"
湘江边 培元桥地铁站 上城金都 单间带天燃气 精装修,上城金都国际公馆 -松桂园,1室0厅 | 37.68平米 | 西 | 其他 | 中楼层(共29层)  | 塔楼,0人关注 / 10天以前发布,35,"9,289元/平"
龙湖品质别墅出行方便 前后花园。,龙湖湘风原著A3区 -金星北,5室2厅 | 196.35平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 7个月以前发布,480,"24,447元/平"
大四房 南北通透全明采光 户型周正,怡海星城 -暮云,4室2厅 | 183平米 | 南 北 | 毛坯 | 中楼层(共17层) | 2016年建 | 板塔结合,0人关注 / 1个月以前发布,140,"7,651元/平"
同升湖一楼、天然绿林接地气、养老居家必备,同升湖山庄 -跳马,5室2厅 | 255.83平米 | 南 | 毛坯 | 下叠(共4层) | 2003年建 | 板塔结合 | 叠拼别墅 ,0人关注 / 2个月以前发布,225,"8,795元/平"
地铁200米 带100平米露台的小高层精装电梯房 诚心出售,鑫天佳园 -赤岗冲,6室3厅 | 254.3平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板塔结合,10人关注 / 10个月以前发布,228,"8,966元/平"
单价4761   南北通透双阳台  动物园轻轨口,气象佳园 -暮云,3室2厅 | 147.04平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,69.8,"4,748元/平"
豪、装四房，全新装修，从未入住，中间楼层，诚心出售,格林星城 -金星中路,4室2厅 | 124.62平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板塔结合,7人关注 / 2个月以前发布,158,"12,679元/平"
梅溪湖金茂府，一线湖景房，地铁口，配套齐全,金茂府 -梅溪湖北岸,4室2厅 | 208.89平米 | 南 | 精装 | 高楼层(共42层) | 2014年建 | 板楼,1人关注 / 1个月以前发布,635,"30,399元/平"
产权227平，得房率过300平精装复式，业主诚售,华银园 -雨花亭,6室2厅 | 227.07平米 | 南 | 精装 | 高楼层(共14层) | 2006年建 | 板塔结合,5人关注 / 1个月以前发布,225,"9,909元/平"
万家丽电梯复式，一露台，客厅挑高设计，拎包入住、,惠泽园 -马王堆,6室3厅 | 204.64平米 | 南 北 | 精装 | 6层  | 板楼,2人关注 / 2个月以前发布,220,"10,751元/平"
业主婚房 五矿央企 中间楼栋 标准四房 南北通 楼层好,五矿紫湖香醍 -暮云,4室2厅 | 138.82平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,150,"10,806元/平"
吾悦广场 户型周正 视野开阔 采光通风好 业主诚心出售,中粮自然天城 -望城区,4室2厅 | 162.62平米 | 南 | 毛坯 | 中楼层(共33层) | 2013年建 | 板塔结合,2人关注 / 2个月以前发布,130,"7,995元/平"
工商学院地铁口，十大文明小区，老洋房复式，产权在手,嘉文苑 -商学院,5室2厅 | 153.9平米 | 南 北 | 精装 | 高楼层(共8层) | 2002年建 | 板楼,0人关注 / 1个月以前发布,112,"7,278元/平"
汇一城才子佳郡精装三房楼层好房东诚心出售带家具家电,才子佳郡 -汽车东站,3室2厅 | 87.98平米 | 南 北 | 精装 | 中楼层(共17层) | 2014年建 | 塔楼,2人关注 / 1个月以前发布,78.8,"8,957元/平"
南北格局，精装修，配套设施完善，小区绿化高,西点公园里 -河西步步高,3室2厅 | 140.62平米 | 南 北 | 精装 | 低楼层(共22层) | 2016年建 | 板塔结合,2人关注 / 1个月以前发布,183,"13,014元/平"
江景视野开阔，满五唯一，诚心出售，自住装修，有车位,北辰定江洋 -北辰三角洲,3室2厅 | 187.67平米 | 西南 西 | 精装 | 高楼层(共39层) | 2016年建 | 板塔结合,8人关注 / 6个月以前发布,430,"22,913元/平"
2020年新装修40万，故回老家发展变卖，18年小区,锦湘国际星城四期 -尚东,4室2厅 | 139.29平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 2个月以前发布,198,"14,215元/平"
满五唯.一业主诚售边户带燃气业主自住精装修贡二好房,贡院2期 -德思勤,2室2厅 | 79.81平米 | 北 | 精装 | 中楼层(共15层) | 2013年建 | 板楼,0人关注 / 23天以前发布,75,"9,398元/平"
满五唯一 精装拎包入住 楼层好 视野开阔,谷山庭苑一区 -观沙岭,3室2厅 | 81.02平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,4人关注 / 25天以前发布,69,"8,517元/平"
凤凰城五彩城 正地铁口 楼下就是万象汇 诚心出售,华润凤凰城五彩城 -开元路,2室1厅 | 52.83平米 | 南 | 简装 | 低楼层(共31层)  | 板塔结合,5人关注 / 30天以前发布,46.8,"8,859元/平"
急售腾资格3号线地铁口旁配套成熟小区中间楼层两房,湘绣城 -中南汽车世界,2室2厅 | 76.93平米 | 南 | 精装 | 中楼层(共7层) | 2007年建 | 板楼,4人关注 / 17天以前发布,37.8,"4,914元/平"
满五不唯一，业主诚售，看房方便！急急急,恒大华府 -市政府,2室2厅 | 90.85平米 | 南 | 精装 | 高楼层(共30层) | 2014年建 | 板塔结合,0人关注 / 17天以前发布,145,"15,961元/平"
中高楼层，自住精装修，边户，厕所带窗户，满五唯一,剑桥名门 -铁道学院,1室1厅 | 42.15平米 | 南 | 精装 | 中楼层(共22层) | 2008年建 | 板塔结合,0人关注 / 8天以前发布,36,"8,541元/平"
此房户型布局楼层好 视野开阔 采光足 业主诚心出售,仁和家园 -新开铺,2室2厅 | 83.32平米 | 南 北 | 其他 | 中楼层(共8层) | 2002年建 | 板楼,1人关注 / 15天以前发布,61,"7,322元/平"
武广美誉新上 两房  业主自住装修  产权在手  近地铁,武广美誉 -武广新城,2室2厅 | 77.35平米 | 南 北 | 精装 | 高楼层(共33层) | 2016年建 | 塔楼,2人关注 / 14天以前发布,92.8,"11,998元/平"
地铁口 正规两房 自住装修 楼层好 明德天心中小,兰亭玥岛 -新开铺,2室2厅 | 88.57平米 | 东南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 10天以前发布,95,"10,726元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
满五唯一，南北通透，采光充足，业主自住装修，诚售,双盈卧龙湾 -金星北,2室2厅 | 96.06平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,67,"6,975元/平"
东塘赤岗冲单位两房 中间楼层 总价低 配套成熟,湖工家园 -赤岗冲,2室1厅 | 61.42平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,45.7,"7,441元/平"
树木岭 地铁口 精装修两房 不临街 全天采光 看房方便,新城新世界一期 -高桥,2室2厅 | 91.05平米 | 西南 | 精装 | 中楼层(共26层) | 2013年建 | 板塔结合,1人关注 / 9天以前发布,93.8,"10,303元/平"
枫林路 麓谷公园 阳明山庄 两房两厅 业主诚心出售,阳明山庄 -麓谷东,2室2厅 | 83.22平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板塔结合,2人关注 / 15天以前发布,59.8,"7,186元/平"
群力里两房诚心出售 楼层好位置优越,群力里小区 -伍家岭,2室1厅 | 58.26平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,49.8,"8,548元/平"
店长推荐 精装优质两房 拎包入住 品牌家具家电齐全,晟通城 -望城区,2室2厅 | 70.49平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,0人关注 / 11天以前发布,50.97,"7,231元/平"
精装边户    钻石物业，环境优美，交通方便,龙湖湘风原著B2区 -金星北,3室2厅 | 88.7平米 | 南 北 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 13天以前发布,91.5,"10,316元/平"
朝南户型  视野开阔，全套家具家电免费，楼层优秀,富基世纪公园 -金星北,2室2厅 | 84.22平米 | 南 | 精装 | 低楼层(共32层) | 2015年建 | 板塔结合,1人关注 / 11天以前发布,65.5,"7,778元/平"
正地铁口，户型周正，楼层好，装修好，采光好,赤岗村军干所 -赤岗冲,2室1厅 | 58.86平米 | 南 | 精装 | 4层  | 板楼,0人关注 / 12天以前发布,52.6,"8,937元/平"
优质精装二室一厅。业主急着腾资格。欢迎咨询,中新森林海 -望城区,2室1厅 | 90.39平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 15天以前发布,54,"5,975元/平"
地铁口，全屋带地暖保养好，满五唯一，楼层好,长燃新奥佳园 -金星北,2室2厅 | 83.3平米 | 南 | 精装 | 中楼层(共33层) | 2016年建 | 板塔结合,1人关注 / 14天以前发布,81,"9,724元/平"
毛胚四房，潇湘奥林匹克花园，中电旁边,潇湘奥林匹克花园 -麓谷西,4室2厅 | 118.59平米 | 南 | 毛坯 | 中楼层(共31层) | 2014年建 | 板塔结合,3人关注 / 2个月以前发布,125,"10,541元/平"
中茂城旁，配套成熟，房东诚心出售，价格可谈,尚都花园城 -泉塘,3室2厅 | 83.88平米 | 南 | 精装 | 低楼层(共32层) | 2011年建 | 板塔结合,0人关注 / 1个月以前发布,62,"7,392元/平"
汽车南站 弘欣公寓 居家三房两厅 拎包入住 随时可看房,弘欣公寓 -汽车南站,3室2厅 | 88.98平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 板塔结合,0人关注 / 1个月以前发布,75.8,"8,519元/平"
小高层，单位房公摊小，小区环境优美，低楼层大三房,天园假日 -汽车东站,3室2厅 | 138.11平米 | 南 北 | 简装 | 低楼层(共16层) | 2012年建 | 板楼,4人关注 / 8个月以前发布,128.6,"9,312元/平"
正规两房 即买即收租 带品牌家电家具 楚天雅郡,楚天雅郡 -泉塘,2室1厅 | 79.75平米 | 南 | 简装 | 高楼层(共34层) | 2016年建 | 板塔结合,20人关注 / 8个月以前发布,53.5,"6,709元/平"
次新小区，居家精装修，南北通风的格局,芙蓉万国城MOMA -汽车东站,4室2厅 | 121.73平米 | 南 | 精装 | 中楼层(共33层) | 2015年建 | 板塔结合,15人关注 / 4个月以前发布,147,"12,076元/平"
兴汝金城桂花坪地铁口三房毛坯出售,兴汝金城 -汽车南站,3室2厅 | 123.03平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,1人关注 / 1个月以前发布,127,"10,323元/平"
盛隆佳园 清水毛坯 周正四房 业主诚心出售,盛隆佳园 -汽车东站,4室2厅 | 140.27平米 | 南 | 毛坯 | 中楼层(共18层) | 2016年建 | 板楼,1人关注 / 1个月以前发布,145,"10,338元/平"
湘水湾南北朝向三房 双阳台板楼 客厅朝南采光不错,博雅湘水湾 -泉塘,3室2厅 | 129.71平米 | 南 | 精装 | 低楼层(共17层) | 2011年建 | 板楼,0人关注 / 2个月以前发布,82.2,"6,338元/平"
